filename,width,height,aspect_ratio,category,suggested_use,path
4135511616480155.jpg,1080,810,1.33,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/4135511616480155.jpg
596947305775886.jpg,1280,1280,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/596947305775886.jpg
210148094455811.jpg,1080,608,1.78,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/210148094455811.jpg
3839422749422378.jpg,960,720,1.33,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/3839422749422378.jpg
3853104094720910.jpg,960,720,1.33,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/3853104094720910.jpg
565923002211650.jpg,1080,1080,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/565923002211650.jpg
332532702217349.jpg,1440,1080,1.33,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/332532702217349.jpg
4031091163588868.jpg,1080,1071,1.01,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/4031091163588868.jpg
4183753218322661.jpg,590,590,1.0,thumb,Thumbnail / Ícone,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/04_pequenas_thumbnails/4183753218322661.jpg
3879236152107704.jpg,780,780,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/3879236152107704.jpg
3879234668774519.jpg,960,1200,0.8,mobile,Card Vertical / Mobile Stories,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/02_retratos_mobile/3879234668774519.jpg
227331379404149.jpg,960,715,1.34,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/227331379404149.jpg
259115639559056.jpg,1080,750,1.44,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/259115639559056.jpg
206210338182920.jpg,1080,1080,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/206210338182920.jpg
3853103794720940.jpg,720,960,0.75,mobile,Card Vertical / Mobile Stories,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/02_retratos_mobile/3853103794720940.jpg
754779116659370.jpg,1080,1080,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/754779116659370.jpg
627780766025873.jpg,809,768,1.05,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/627780766025873.jpg
292068416263778.jpg,1511,2000,0.76,mobile,Card Vertical / Mobile Stories,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/02_retratos_mobile/292068416263778.jpg
274177128052907.jpg,960,720,1.33,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/274177128052907.jpg
394376739366278.jpg,384,384,1.0,thumb,Thumbnail / Ícone,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/04_pequenas_thumbnails/394376739366278.jpg
274176934719593.jpg,720,960,0.75,mobile,Card Vertical / Mobile Stories,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/02_retratos_mobile/274176934719593.jpg
3733796173318370.jpg,802,802,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/3733796173318370.jpg
208626034608017.jpg,1080,861,1.25,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/208626034608017.jpg
4270984219599560.jpg,960,720,1.33,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/4270984219599560.jpg
3978983608799624.jpg,1440,1080,1.33,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/3978983608799624.jpg
3853103378054315.jpg,720,960,0.75,mobile,Card Vertical / Mobile Stories,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/02_retratos_mobile/3853103378054315.jpg
3866377863393533.jpg,1440,1101,1.31,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/3866377863393533.jpg
738095548327727.jpg,720,720,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/738095548327727.jpg
4261113110586671.jpg,922,649,1.42,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/4261113110586671.jpg
311567164313903.jpg,1080,663,1.63,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/311567164313903.jpg
4013965868634731.jpg,1440,1080,1.33,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/4013965868634731.jpg
613088834161733.jpg,1066,527,2.02,thumb,Thumbnail / Ícone,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/04_pequenas_thumbnails/613088834161733.jpg
394376822699603.jpg,381,381,1.0,thumb,Thumbnail / Ícone,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/04_pequenas_thumbnails/394376822699603.jpg
